,0
533,1
534,0
535,0
536,1
537,1
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,1
610,1
611,1
612,1
613,1
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,1
668,1
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,1
726,1
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,0
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,1
778,1
779,0
780,0
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,1
789,1
790,0
791,1
792,0
793,0
794,0
795,1
796,0
797,1
798,0
799,1
800,1
801,1
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,1
813,1
814,1
815,0
